ID,GSM663026,GSM663027,GSM663028,GSM663029,GSM663030,GSM663031,GSM663032,GSM663033,GSM663034,GSM663035,GSM663036,GSM663037,GSM663038,GSM663039,GSM663040,GSM663041,GSM663042,GSM663043,GSM663044,GSM663045
Group,ALS,ALS,ALS,ALS,ALS,ALS,ALS,ALS,ALS,ALS,CONT,CONT,CONT,CONT,CONT,CONT,CONT,CONT,CONT,CONT
ILMN_8912,25.209,34.359,287.257,53.13,116.653,64.823,53.951,44.509,313.888,254.827,387.539,285.893,243.466,170.518,231.265,257.398,239.777,459.279,246.382,270.901
ILMN_8914,29.053,23.84,43.773,31.215,42.627,40.796,34.544,39.067,29.677,38.063,32.83,26.781,47.902,29.199,35.101,24.984,27.005,31.183,27.793,31.112
ILMN_8915,105.215,141.328,99.18,98.308,44.823,78.279,130.407,91.213,115.697,136.831,109.863,132.123,97.12,95.649,173.878,169.579,151.067,72.379,87.192,106.117
ILMN_8917,65.534,88.407,67.462,52.698,87.621,77.953,94.886,39.561,100.064,101.241,83.111,53.122,79.2,93.558,60.758,67.122,76.373,81.367,59.779,66.712
ILMN_8918,40.474,43.913,27.257,16.054,61.292,41.49,25.981,53.718,152.277,231.082,95.046,70.569,36.108,200.856,106.971,89.838,255.467,31.427,41.352,23.116
ILMN_8919,67.328,68.11,99.616,98.026,39.084,61.661,103.665,152.63,81.729,76.461,79.042,69.698,82.993,130.5,128.899,97.969,142.136,87.937,92.214,104.081
ILMN_892,42.184,53.446,31.042,50.436,31.533,67.966,54.433,33.799,29.262,47.977,42.734,56.482,37.058,55.21,80.178,69.681,52.04,55.212,50.081,74.407
ILMN_8920,147.527,172.496,37.173,16.002,149.666,48.567,62.009,46.686,63.738,56.268,37.295,138.001,99.796,65.907,108.668,107.925,23.671,44.742,25.768,78.749
ILMN_8921,102.818,112.369,78.855,114.021,194.503,128.115,161.737,108.092,104.503,113.181,87.015,92.762,120.538,83.067,104.02,110.525,61.761,173.267,125.373,96.811
ILMN_8922,70.24,47.356,79.455,95.351,58.86,91.027,68.594,77.769,90.617,35.675,84.758,80.133,35.006,67.804,100.619,63.921,26.261,87.501,103.687,46.682
ILMN_8923,940.378,1011.356,1281.277,1121.442,1112.465,989.397,1118.69,1131.656,863.239,872.617,724.452,857.147,725.244,827.76,800.869,813.157,944.488,1260.714,1070.03,763.719
ILMN_8924,38.498,53.641,41.626,58.608,71.145,29.56,56.134,38.804,60.621,66.798,38.914,48.743,69.855,60.187,64.823,54.222,64.955,56.573,62.349,37.987
ILMN_8925,10.777,17.13,14.065,18.59,11.102,16.11,1.632,12.018,9.298,15.671,14.227,10.116,8.051,16.585,7.245,20.163,13.775,4.782,17.881,26.734
ILMN_8926,19.664,19.893,25.326,28.527,30.841,10.394,25.212,27.415,9.161,18.899,24.019,18.645,20.393,40.655,7.02,18.05,25.633,32.745,29.271,13.093
ILMN_8927,41.651,17.952,8.427,20.339,13.227,12.489,13.911,29.197,15.446,0.792,25.507,31.688,24.909,3.382,13.778,5.334,14.73,12.407,27.411,14.662
ILMN_8928,94.213,60.686,52.142,49.615,48.879,48.224,77.335,76.3,47.809,27.449,34.476,47.14,58.53,63.611,87.908,102.371,100.617,76.601,75.282,6.618
ILMN_893,126.234,192.811,202.74,499.774,408.114,159.439,302.408,451.234,247.931,235.952,252.936,185.73,290.993,234.562,127.668,175.452,213.921,202.037,399.883,266.077
ILMN_8932,25.389,17.142,13.02,3.588,12.286,24.173,12.94,7.532,16.027,29.343,29.382,18.767,23.943,26.936,13.102,33.347,32.215,22.838,22.862,29.037
ILMN_8933,58.83,37.227,48.658,69.862,29.447,31.595,45.547,39.6,43.616,44.859,30.564,42.487,31.537,54.162,41.296,30.772,26.972,36.789,38.986,35.136
ILMN_8934,9.636,2.117,12.789,21.569,16.633,17.105,13.244,21.016,7.935,13.99,16.061,0.038,19.322,12.877,23.489,10.516,14.466,16.738,14.534,15.819
ILMN_8935,9.409,20.402,3.785,5.954,16.245,7.652,14.875,11.944,22.736,17.755,20.215,24.543,10.586,15.848,14.584,21.591,26.545,19.915,24.266,28.19
ILMN_8936,147.907,132.268,227.254,271.356,106.748,139.468,234.338,247.597,25.686,34.242,232.644,95.611,156.664,153.956,205.719,214.907,46.479,221.711,167.667,133.446
ILMN_8937,374.385,340.598,53.795,25.173,33.908,147.846,36.936,34.19,53.525,40.865,73.796,228.981,107.244,68.771,449.56,410.303,144.952,82.392,125.333,177.248
ILMN_8938,835.141,866.388,1606.307,948.941,1394.599,1080.981,1035.431,889.479,1009.075,1093.774,1228.957,1209.286,938.898,1307.327,1253.248,1138.382,1210.884,1412.803,1086.579,1073.638
ILMN_8939,76.91,81.54,86.477,92.197,67.105,52.251,78.426,70.648,58.579,76.926,55.78,72.763,84.347,75.628,88.357,76.646,67.788,69.639,109.482,61.431
ILMN_894,7567.503,7100.766,6723.432,6399.027,11012.701,7544.287,7293.073,8239.912,7120.073,7854.55,7487.428,11486.461,7809.595,8766.867,7238.808,6702.712,8142.108,7785.568,8647.26,10506.439
ILMN_8940,23.002,33.347,18.829,44.037,22.064,34.322,11.161,39.587,28.938,24.164,26.168,29.771,29.684,28.48,15.338,18.256,47.633,27.851,22.887,14.395
ILMN_8941,789.426,752.304,693.237,887.193,659.579,799.736,953.194,885.587,599.666,655.157,1119.318,803.765,752.904,840.874,820.64,717.188,863.266,722.062,709.779,1145.656
ILMN_8942,98.995,68.12,75.85,82.097,71.9,119.775,97.802,78.71,95.471,115.026,121.017,83.292,99.671,101.391,98.15,78.003,79.661,85.608,77.242,87.946
ILMN_8943,301.355,305.019,276.188,210.951,277.13,356.88,242.368,310.627,305.349,317.041,216.172,286.281,255.383,318.16,281.994,349.575,218.533,259.102,248.663,326.894
ILMN_8944,25.81,31.574,23.918,12.678,31.773,39.882,39.622,18.412,36.399,11.557,16.647,33.278,26.609,25.739,44.75,21.018,39.553,15.808,25.781,24.49
ILMN_8946,92.849,96.025,86.067,150.781,117.469,226.153,240.531,242.419,103.616,102.44,107.606,88.143,198.932,200.431,155.082,136.444,254.277,102.485,145.08,93.638
ILMN_8947,717.759,801.377,512.331,707.143,656.567,561.325,671.414,586.021,641.593,668.493,791.631,612.329,653.568,582.021,401.884,414.372,446.905,668.772,536.358,441.667
ILMN_8948,14.07,25.113,16.898,11.223,47.627,41.828,33.741,52.27,9.199,13.55,11.527,19.72,24.524,29.257,47.96,44.562,27.99,23.481,26.864,12.952
ILMN_8950,10199.077,9474.587,8295.774,7605.061,8295.347,11861.831,8690.973,8154.579,6312.17,5963.796,5247.025,5381.821,6630.434,5831.583,5802.703,5433.948,7740.391,7574.508,6872.914,4863.459
ILMN_8953,1005.624,1124.848,704.166,683.879,784.971,869.93,996.332,1111.149,1099.793,1217.196,330.33,649.063,662.556,974.646,826.576,940.565,934.656,400.667,659.681,488.867
ILMN_8954,21.883,16.74,21.819,22.682,24.544,22.672,23.807,33.454,19.978,19.693,18.049,25.811,29.351,24.544,23.961,15.057,13.158,21.419,21.226,30.471
ILMN_8956,950.635,946.183,902.281,704.249,628.291,617.115,643.678,637.253,511.392,485.986,356.587,388.801,491.394,478.013,697.237,699.903,375.399,548.354,520.088,365.133
ILMN_8957,80.11,117.417,72.497,36.318,34.806,46.782,26.732,27.94,87.686,57.264,34.3,58.904,40.121,47.449,47.065,59.101,56.885,26.397,27.473,28.583
ILMN_8958,65.503,41.583,29.329,15.72,36.555,19.713,38.642,32.695,32.769,19.354,7.674,39.096,27.172,18.74,69.551,88.898,20.774,16.83,18.992,14.423
ILMN_8959,1218.019,1240.004,1440.952,1116.778,1174.775,1281.053,1160.104,1202.799,996.86,1092.213,1046.373,1090.15,1002.408,1067.881,1116.6,1134.143,1206.249,1376.145,1001.46,1009.089
ILMN_896,155.445,209.351,238.04,436.627,299.796,506.185,749.22,845.448,475.63,582.639,204.624,256.006,380.46,597.856,342.711,355.875,772.687,218.536,316.104,257.573
ILMN_8960,47.08,45.423,53.615,38.804,33.294,69.608,72.252,47.527,44.338,40.961,46.25,42.504,49.681,52.556,61.072,67.45,53.088,52.859,81.955,42.292
ILMN_8963,14.613,24.737,30.881,20.752,19.405,32.951,22.806,24.409,28.048,25.02,25.231,15.186,18.127,29.682,15.103,19.992,12.538,11.806,19.331,29.87
ILMN_8964,37.74,33.354,23.926,15.901,24.454,37.539,64.822,63.329,35.078,54.178,36.001,53.013,64.14,41.587,40.562,9.707,37.561,76.234,175.147,103.216
ILMN_8966,678.036,673.804,906.517,718.343,660.344,875.252,960.22,821.56,717.887,908.815,800.398,867.916,836.721,1158.783,1196.708,1103.104,1151.376,968.024,702.101,692.867
ILMN_8967,418.798,161.531,530.513,485.16,428.403,124.023,204.18,171.08,195.674,202.433,478.366,460.568,415.605,159.132,184.013,229.192,274.428,277.027,475.884,269.851
ILMN_8968,60.253,85.195,184.518,30.877,63.566,101.758,86.411,88.472,71.555,52.559,119.321,142.065,106.274,93.31,177.885,165.332,83.162,236.779,162.439,131.463
ILMN_8969,21.865,15.598,15.325,24.856,10.175,9.8,29.999,19.075,14.416,12.11,15.27,16.523,28.899,21.011,20.083,18.88,22.081,10.612,17.753,22.123
ILMN_897,558.222,547.373,498.137,381.705,516.319,474.182,463.609,412.262,415.433,425.669,432.08,462.271,443.25,490.373,478.871,450.546,465.866,518.953,550.059,416.182
ILMN_8970,87.949,92.842,114.586,203.654,75.288,202.106,227.027,181.478,66.288,99.632,129.961,112.474,153.531,169.06,206.114,204.934,285.534,100.574,160.858,131.774
ILMN_8972,257.478,282.91,81.662,138.293,67.189,410.213,64.088,58.9,93.043,128.723,139.841,74.11,179.528,149.356,149.735,120.911,134.349,346.85,76.79,143.47
ILMN_8973,127.355,150.632,72.154,20.018,14.311,79.617,93.35,143.818,34.249,66.859,26.696,78.884,110.916,37.507,176.158,164.222,81.884,58.612,71.936,120.711
ILMN_8974,394.562,480.527,314.643,955.976,876.32,1184.391,1082.435,1178.057,777.096,697.704,729.133,519.247,857.489,625.114,345.507,391.277,783.535,354.008,474.942,590.749
ILMN_8975,10.267,6.562,5.623,8.588,-0.684,-0.146,7.354,2.737,5.677,16.002,1.359,0.388,10.57,8.759,4.816,11.976,-0.878,1.925,2.063,-2.38
ILMN_8976,42.815,51.489,23.911,97.582,16.314,51.886,49.106,64.249,41.147,31.75,34.199,17.591,46.02,22.985,78.328,90.508,37.956,41.054,38.523,27.479
ILMN_8977,84.477,110.215,50.162,31.051,53.207,53.333,68.951,64.413,46.896,64.628,35.046,36.818,41.616,54.071,90.262,103.595,27.979,39.665,37.638,32.887
ILMN_8979,839.553,765.569,577.374,515.001,370.44,420.586,508.605,433.683,366.237,371.514,325.15,325.758,357.222,346.593,679.22,672.152,469.78,375.554,405.265,267.523
ILMN_898,62.247,47.591,32.39,37.78,41.571,62.725,27.344,37.929,22.907,30.552,38.205,46.39,39.292,48.533,28.071,33.929,14.349,41.759,24.071,60.005
ILMN_8980,45.406,40.93,13.727,19.838,26.328,19.331,26.958,20.538,21.484,11.218,21.479,15.696,17.897,17.113,28.499,24.215,11.152,16.243,21.96,15.043
ILMN_8981,956.877,970.481,900.548,735.654,2115.185,1665.114,1073.375,1019.164,1211.807,1226.759,1571.686,1837.532,1361.144,1254.807,691.112,762.107,1545.624,1317.246,757.948,1641.894
ILMN_8982,5.148,12.989,6.627,46.765,8.362,6.928,16.02,-0.343,14.756,26.006,23.749,15.793,8.105,15.04,13.952,20.388,19.822,15.465,8.865,10.554
ILMN_8983,755.659,868.103,814.027,998.99,947.415,1198.694,1354.108,1431.542,1083.706,1275.66,1464.56,1407.737,1001.934,1466.308,991.489,910.368,978.706,1316.945,1053.432,1360.963
ILMN_8985,7233.864,7380.348,7804.47,4644.711,7749.552,6288.206,5467.514,6511.73,8047.5,7168.318,6264.412,7045.006,6208.422,6627.85,6149.418,7026.782,6546.316,10612.437,7776.588,7653.102
ILMN_8986,88.17,95.008,128.074,153.69,79.559,110.66,130.786,124.85,135.837,110.793,108.094,128.248,91.059,80.395,98.955,77.095,149.415,139.304,127.324,136.756
ILMN_8987,70.387,104.09,98.073,85.189,77.84,69.494,78.244,103.119,63.037,56.608,80.963,61.356,87.771,48.112,58.724,84.864,66.763,64.519,90.07,43.511
